2023-03-22T22:39:24+03:00
Running ./lab_benchmarks
Run on (12 X 5000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x6)
  L1 Instruction 32 KiB (x6)
  L2 Unified 256 KiB (x6)
  L3 Unified 12288 KiB (x1)
Load Average: 0.86, 0.85, 0.95
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
----------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                  Time             CPU   Iterations
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:200                                286 ns          288 ns      2402801
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:300                                324 ns          325 ns      2125509
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:400                                348 ns          349 ns      2007521
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:500                                364 ns          370 ns      1903735
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:600                                362 ns          366 ns      1900969
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:700                                377 ns          378 ns      1825611
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:800                                389 ns          391 ns      1839257
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:900                                384 ns          391 ns      1792316
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:1000                               390 ns          392 ns      1776745
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:10000                              595 ns          599 ns      1190930
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:20000                              719 ns          722 ns       928238
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:30000                              812 ns          815 ns       817425
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:40000                              897 ns          901 ns       742547
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:50000                              929 ns          933 ns       733613
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:60000                              960 ns          963 ns       709267
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:70000                              986 ns          991 ns       690482
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:80000                             1007 ns         1011 ns       678775
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:90000                             1027 ns         1031 ns       665003
BM_PerRequest_PersistentSegmentTree/Rectangles&Points:100000                            1053 ns         1058 ns       644572
